name,genre,type,episodes,rating,members
6507.0,1828.0,6.0,26.0,8.41,30689.0
7947.0,3191.0,6.0,25.0,8.41,83056.0
928.0,1773.0,6.0,26.0,8.4,148328.0
947.0,137.0,6.0,25.0,8.4,226430.0
1794.0,805.0,1.0,1.0,8.4,137636.0
6508.0,2741.0,6.0,26.0,8.4,29528.0
7058.0,777.0,4.0,7.0,8.4,42076.0
7468.0,2499.0,4.0,1.0,8.4,28302.0
7326.0,1784.0,6.0,24.0,8.4,291228.0
9021.0,1461.0,6.0,40.0,8.4,32188.0
9221.0,1796.0,6.0,24.0,8.4,380375.0
427.0,430.0,6.0,13.0,8.39,717796.0
802.0,3158.0,6.0,15.0,8.39,482268.0
1253.0,3169.0,6.0,12.0,8.39,83641.0
3641.0,2348.0,5.0,1.0,8.39,47840.0
7956.0,21.0,1.0,1.0,8.39,76051.0
8207.0,2050.0,6.0,26.0,8.39,422271.0
2085.0,1122.0,1.0,1.0,8.38,21798.0
2494.0,1133.0,6.0,24.0,8.38,556431.0
7709.0,2100.0,6.0,11.0,8.38,67697.0
8468.0,2690.0,6.0,26.0,8.38,105044.0
9570.0,3128.0,2.0,1.0,8.38,71136.0
10718.0,1559.0,1.0,1.0,8.38,151061.0
3344.0,537.0,5.0,1.0,8.37,27213.0
3588.0,2576.0,6.0,12.0,8.37,61493.0
4570.0,9.0,6.0,26.0,8.37,99128.0
4924.0,2797.0,1.0,1.0,8.37,45547.0
5198.0,647.0,6.0,203.0,8.37,258103.0
5884.0,1698.0,6.0,10.0,8.37,122895.0
8069.0,1528.0,6.0,13.0,8.37,334932.0
1121.0,633.0,6.0,13.0,8.36,282002.0
3273.0,2307.0,6.0,11.0,8.36,67032.0
6087.0,1797.0,6.0,13.0,8.36,71820.0
6512.0,1831.0,4.0,1.0,8.36,12282.0
9161.0,311.0,4.0,13.0,8.36,27532.0
9087.0,2306.0,6.0,77.0,8.36,101027.0
819.0,2280.0,6.0,25.0,8.35,246899.0
1969.0,2307.0,6.0,12.0,8.35,258914.0
5731.0,2669.0,1.0,1.0,8.35,189741.0
5959.0,2869.0,1.0,1.0,8.35,59815.0
6509.0,1828.0,6.0,26.0,8.35,28002.0
7935.0,2649.0,1.0,1.0,8.35,53590.0
11766.0,2285.0,5.0,1.0,8.34,31856.0
3227.0,1081.0,1.0,1.0,8.34,223036.0
4858.0,2196.0,1.0,1.0,8.34,115252.0
5873.0,1157.0,5.0,1.0,8.34,22900.0
6384.0,414.0,1.0,1.0,8.34,13315.0
9484.0,156.0,1.0,1.0,8.34,58492.0
10262.0,3241.0,5.0,1.0,8.34,38147.0
12285.0,1779.0,6.0,13.0,8.34,74941.0
952.0,138.0,1.0,1.0,8.33,65594.0
2018.0,2505.0,6.0,12.0,8.33,383914.0
2847.0,19.0,6.0,51.0,8.33,600384.0
3573.0,2881.0,6.0,26.0,8.33,98996.0
4302.0,364.0,4.0,8.0,8.33,57029.0
8874.0,379.0,1.0,1.0,8.33,109392.0
1466.0,2503.0,6.0,25.0,8.32,158561.0
2092.0,1122.0,1.0,1.0,8.32,6229.0
2409.0,71.0,6.0,291.0,8.32,375662.0
2708.0,905.0,5.0,1.0,8.32,106382.0
5651.0,2675.0,1.0,1.0,8.32,59652.0
6884.0,1445.0,1.0,1.0,8.32,94435.0
7343.0,2487.0,6.0,26.0,8.32,224947.0
7541.0,655.0,6.0,26.0,8.32,461946.0
7952.0,21.0,1.0,1.0,8.32,18642.0
11012.0,1708.0,1.0,1.0,8.32,89424.0
11189.0,639.0,6.0,26.0,8.32,283069.0
12287.0,3174.0,4.0,2.0,8.32,36353.0
3343.0,535.0,5.0,1.0,8.31,14002.0
6386.0,2591.0,1.0,1.0,8.31,88164.0
9428.0,1809.0,6.0,12.0,8.31,69253.0
11826.0,1788.0,6.0,13.0,8.31,222994.0
11827.0,2249.0,4.0,1.0,8.31,35120.0
614.0,2860.0,6.0,26.0,8.3,39596.0
1051.0,1177.0,6.0,12.0,8.3,203233.0
1673.0,1797.0,6.0,23.0,8.3,566690.0
5028.0,2056.0,6.0,12.0,8.3,142612.0
10362.0,2317.0,1.0,1.0,8.3,223359.0
767.0,534.0,5.0,3.0,8.29,100412.0
2086.0,1122.0,1.0,1.0,8.29,20602.0
3572.0,2881.0,6.0,26.0,8.29,55566.0
4521.0,1674.0,6.0,4.0,8.29,19702.0
4930.0,1633.0,6.0,12.0,8.29,56927.0
7971.0,22.0,5.0,1.0,8.29,17247.0
9123.0,2310.0,6.0,120.0,8.29,47092.0
1342.0,1735.0,1.0,1.0,8.28,60637.0
3642.0,2348.0,4.0,1.0,8.28,40623.0
5044.0,1700.0,6.0,12.0,8.28,91796.0
